candle,BTC,ETH,SOL,total_usdt
2026-07-01,333.33,333.33,333.33,1000.00
2026-07-02,333.33,333.33,333.33,1000.00
2026-07-03,333.33,333.33,333.33,1000.00
2026-07-04,333.33,333.33,333.33,1000.00
2026-07-05,333.33,333.33,333.33,1000.00
2026-07-06,333.33,333.33,333.33,1000.00
2026-07-07,333.33,333.33,333.33,1000.00
2026-07-08,333.33,333.33,333.33,1000.00
2026-07-09,333.33,333.33,333.33,1000.00
2026-07-10,333.33,333.33,333.33,1000.00
2026-07-11,333.33,333.33,333.33,1000.00
2026-07-12,333.33,333.33,333.33,1000.00
2026-07-13,333.33,333.33,333.33,1000.00
2026-07-14,333.33,333.33,333.33,1000.00
