candle,BTC,ETH,SOL,total_usdt
2026-07-02 00:00,333.33,333.33,333.33,1000.00
2026-07-02 08:00,333.33,333.33,332.83,999.50
2026-07-03 08:00,333.33,333.33,329.11,995.78
2026-07-03 12:00,333.33,333.33,329.11,995.78
2026-07-03 16:00,333.33,333.33,328.62,995.28
2026-07-03 20:00,333.33,333.33,328.06,994.73
2026-07-04 00:00,333.33,333.33,329.65,996.32
2026-07-04 04:00,333.33,333.33,329.57,996.24
2026-07-04 08:00,333.33,333.33,325.99,992.65
2026-07-04 12:00,333.33,333.33,327.62,994.29
2026-07-04 16:00,333.33,333.33,326.23,992.89
2026-07-04 20:00,333.33,333.33,325.91,992.57
2026-07-05 00:00,333.33,333.33,320.49,987.15
2026-07-05 04:00,333.33,333.33,320.49,987.15
2026-07-05 08:00,333.33,333.33,320.49,987.15
2026-07-05 12:00,333.33,333.33,320.49,987.15
2026-07-05 16:00,333.33,333.33,320.49,987.15
2026-07-05 20:00,333.33,333.33,320.49,987.15
2026-07-06 00:00,333.33,333.33,320.49,987.15
2026-07-06 04:00,333.33,333.33,320.49,987.15
2026-07-06 08:00,333.33,333.33,320.49,987.15
2026-07-06 12:00,333.33,333.33,320.49,987.15
2026-07-06 16:00,333.33,333.33,320.01,986.67
2026-07-06 20:00,333.33,333.33,319.50,986.17
2026-07-07 00:00,333.33,333.33,315.55,982.22
2026-07-07 04:00,333.33,333.33,315.55,982.22
2026-07-07 08:00,333.33,333.33,315.55,982.22
2026-07-07 12:00,333.33,333.33,315.08,981.75
2026-07-07 16:00,333.33,333.33,311.77,978.44
2026-07-07 20:00,333.33,333.33,311.77,978.44
2026-07-08 00:00,333.33,333.33,311.77,978.44
2026-07-08 04:00,333.33,333.33,311.77,978.44
2026-07-08 08:00,333.33,333.33,311.77,978.44
2026-07-08 12:00,333.33,333.33,311.77,978.44
2026-07-08 16:00,333.33,333.33,311.77,978.44
2026-07-08 20:00,333.33,333.33,311.77,978.44
2026-07-09 00:00,333.33,333.33,311.77,978.44
2026-07-09 04:00,333.33,333.33,311.77,978.44
2026-07-09 08:00,333.33,333.33,311.77,978.44
2026-07-09 12:00,333.33,333.33,311.77,978.44
2026-07-09 16:00,333.33,333.33,311.77,978.44
2026-07-09 20:00,333.33,333.33,311.77,978.44
2026-07-10 00:00,333.33,333.33,311.77,978.44
2026-07-10 04:00,333.33,333.33,311.77,978.44
2026-07-10 08:00,333.33,333.33,311.77,978.44
2026-07-10 12:00,333.33,333.33,311.77,978.44
2026-07-10 16:00,333.33,333.33,311.77,978.44
